ESTACION,NOMBRE,PROVINCIA,LATITUD (º.minutos),LONGITUD (º.minutos),ALTURA (m)
10001,LA QUIACA OBSERVATORIO,JUJUY,22.06,65.36,"3,459"
10011,LAS LOMITAS,FORMOSA,24.42,60.35,130
10012,SALTA AERO,SALTA,24.51,65.29,"1,221"
10017,TUCUMAN AERO,TUCUMÁN,26.51,65.06,450
10044,CATAMARCA AERO,CATAMARCA,28.36,65.46,464
10062,SANTIAGO DEL ESTERO AERO,SANTIAGO DEL ESTERO,27.46,64.18,199
10065,TINOGASTA,CATAMARCA,28.04,67.34,"1,201"
10077,LA RIOJA AERO,LA RIOJA,29.23,66.49,429
10081,CERES AERO,SANTA FE,29.53,61.57,88
10086,JACHAL,SAN JUAN,30.14,68.45,"1,175"
10087,MONTE CASEROS AERO,CORRIENTES,30.16,57.39,54
10100,CÓRDOBA AERO,CÓRDOBA,31.18,64.12,495
10105,CÓRDOBA OBSERVATORIO,CÓRDOBA,31.24,64.11,425
10111,PILAR OBSERVATORIO,CÓRDOBA,31.4,63.53,338
10113,PARANA AERO,ENTRE RÍOS,31.47,60.29,78
10117,VILLA DOLORES AERO,CÓRDOBA,31.57,65.08,566
10131,MENDOZA AERO,MENDOZA,32.5,68.47,704
10132,MENDOZA OBSERVATORIO,MENDOZA,32.53,68.51,827
10133,ROSARIO AERO,SANTA FE,32.55,60.47,25
10134,GUALEGUAYCHU AERO,ENTRE RÍOS,33,58.37,23
10138,RIO CUARTO AERO,CÓRDOBA,33.07,64.14,421
10139,SAN LUIS AERO,SAN LUIS,33.16,66.21,713
10148,LABOULAYE AERO,CÓRDOBA,34.08,63.22,137
10156,BUENOS AIRES OBSERVATORIO,CABA,34.35,58.29,25
10159,EL PALOMAR AERO,BUENOS AIRES,34.36,58.36,12
10166,EZEIZA AERO,BUENOS AIRES,34.49,58.32,20
10170,LA PLATA AERO,BUENOS AIRES,34.58,57.54,23
10177,PUNTA INDIO B.A.,BUENOS AIRES,35.22,57.17,22
10178,NUEVE DE JULIO,BUENOS AIRES,35.27,60.53,76
10179,MALARGUE AERO,MENDOZA,35.3,69.35,"1,425"
10190,DOLORES AERO,BUENOS AIRES,36.21,57.44,9
10192,SANTA ROSA AERO,LA PAMPA,36.34,64.16,191
10204,CORONEL SUAREZ AERO,BUENOS AIRES,37.26,61.53,233
10206,PIGUE AERO,BUENOS AIRES,37.36,62.23,304
10210,MAR DEL PLATA AERO,BUENOS AIRES,37.56,57.35,21
10221,BAHIA BLANCA AERO,BUENOS AIRES,38.44,62.1,83
10227,NEUQUÉN AERO,NEUQUÉN,38.57,68.08,271
10248,MAQUINCHAO,RÍO NEGRO,41.15,68.44,888
10258,TRELEW AERO,CHUBUT,43.12,65.16,43
10270,COMODORO RIVADAVIA AERO,CHUBUT,45.47,67.3,46
10285,SAN JULIAN AERO,SANTA CRUZ,49.19,67.47,62
10293,RIO GALLEGOS AERO,SANTA CRUZ,51.37,69.17,19
10296,RIO GRANDE B.A.,TIERRA DEL FUEGO,53.48,67.45,22
10298,USHUAIA AERO,USHUAIA,54.48,68.19,57
10303,ESQUEL AERO,CHUBUT,42.56,71.09,797
10309,RECONQUISTA AERO,SANTA FE,29.11,59.42,53
10311,TANDIL AERO,BUENOS AIRES,37.14,59.15,175
10323,BARILOCHE AERO,RÍO NEGRO,41.09,71.1,835
10325,SAN RAFAEL AERO,MENDOZA,34.35,68.24,748
10326,TARTAGAL AERO,SALTA,22.39,63.49,450
10332,AEROPARQUE AERO,CABA,34.34,58.25,6
10334,GENERAL PICO AERO,LA PAMPA,35.42,63.45,145
10335,VILLA REYNOLDS AERO,SAN LUIS,33.44,65.23,486
10339,ORAN AERO,SALTA,23.09,64.19,357
10346,PASO DE LOS LIBRES AERO,CORRIENTES,29.41,57.09,70
10353,IGUAZU AERO,MISIONES,25.44,54.28,270
10362,POSADAS AERO,MISIONES,27.22,55.58,125
10369,MARCOS JUAREZ AERO,CÓRDOBA,32.42,62.09,114
10370,SAN MARTIN (MZA),MENDOZA,33.05,68.25,653
10451,SAUCE VIEJO AERO,SANTA FE,31.42,60.49,18
10453,JUNIN AERO,BUENOS AIRES,34.33,60.55,81
10456,PEHUAJO AERO,BUENOS AIRES,35.52,61.54,87
10470,CORRIENTES AERO,CORRIENTES,27.27,58.46,62
10477,CONCORDIA AERO,ENTRE RÍOS,31.18,58.01,38
10483,FORMOSA AERO,FORMOSA,26.12,58.14,60
10489,RESISTENCIA AERO,CHACO,27.27,59.03,52
10490,TRES ARROYOS,BUENOS AIRES,38.2,60.15,115
10495,SAN JUAN AERO,SAN JUAN,31.34,68.25,598
10500,JUJUY AERO,JUJUY,24.23,65.05,905
10501,VIEDMA AERO,RÍO NEGRO,40.51,63.01,7
